Кампания;Группа;Ключевая фраза;Тип соответствия;Частотность Wordstat/мес;Посадочная
K1-ТС ПИоТ;1.1 ТС ПИоТ касса;тс пиот;фразовое;32962;/produkty/kontur-market/
K1-ТС ПИоТ;1.1 ТС ПИоТ касса;что такое тс пиот;фразовое;1174;/produkty/kontur-market/
K1-ТС ПИоТ;1.1 ТС ПИоТ касса;тс пиот 1с;фразовое;2580;/produkty/kontur-market/
K1-ТС ПИоТ;1.1 ТС ПИоТ касса;тс пиот штраф;фразовое;119;/produkty/kontur-market/
K1-ТС ПИоТ;1.1 ТС ПИоТ касса;разрешительный режим;фразовое;;/produkty/kontur-market/
K1-ТС ПИоТ;1.1 ТС ПИоТ касса;разрешительный режим честный знак;фразовое;1660;/produkty/kontur-market/
K1-ТС ПИоТ;1.1 ТС ПИоТ касса;касса с тс пиот;фразовое;;/produkty/kontur-market/
K1-ТС ПИоТ;1.1 ТС ПИоТ касса;подключить тс пиот;фразовое;;/produkty/kontur-market/
K1-ТС ПИоТ;1.1 ТС ПИоТ касса;модуль тс пиот;фразовое;;/produkty/kontur-market/
K1-ТС ПИоТ;1.1 ТС ПИоТ касса;тс пиот для кассы;фразовое;;/produkty/kontur-market/
K1-ТС ПИоТ;1.2 касса розница;касса для общепита;фразовое;336;/produkty/kontur-market/
K1-ТС ПИоТ;1.2 касса розница;касса для услуг ип;фразовое;150;/produkty/kontur-market/
K1-ТС ПИоТ;1.2 касса розница;нужна ли касса ип 2026;фразовое;277;/produkty/kontur-market/
K1-ТС ПИоТ;1.2 касса розница;выбор кассы;фразовое;1446;/produkty/kontur-market/
K1-ТС ПИоТ;1.2 касса розница;онлайн-касса для маркировки;фразовое;;/produkty/kontur-market/
K1-ТС ПИоТ;1.2 касса розница;касса с честным знаком;фразовое;;/produkty/kontur-market/
K1-ТС ПИоТ;1.2 касса розница;контур маркет;точное;;/produkty/kontur-market/
K2-ОФД;2.1 ОФД;что такое офд;фразовое;9785;/produkty/kontur-ofd/
K2-ОФД;2.1 ОФД;как сменить офд;фразовое;143;/produkty/kontur-ofd/
K2-ОФД;2.1 ОФД;подключить офд;фразовое;;/produkty/kontur-ofd/
K2-ОФД;2.1 ОФД;офд для тс пиот;фразовое;;/produkty/kontur-ofd/
K2-ОФД;2.2 регистрация ккт;регистрация кассы через фнс самостоятельно;фразовое;;/blog/2026-05-01-registraciya-kkt-v-fns/
K2-ОФД;2.2 регистрация ккт;регистрация ккт через личный кабинет фнс;фразовое;;/blog/2026-05-01-registraciya-kkt-v-fns/
K2-ОФД;2.2 регистрация ккт;регистрация ккт в налоговой пошаговая инструкция;фразовое;;/blog/2026-05-01-registraciya-kkt-v-fns/
K3-Маркировка;3.1 маркировка;сроки маркировки;фразовое;14490;/produkty/kontur-markirovka/
K3-Маркировка;3.1 маркировка;маркировка остатков;фразовое;8466;/produkty/kontur-markirovka/
K3-Маркировка;3.1 маркировка;штраф за маркировку;фразовое;3290;/produkty/kontur-markirovka/
K3-Маркировка;3.1 маркировка;маркировка маркетплейс;фразовое;1208;/produkty/kontur-markirovka/
K3-Маркировка;3.2 ЭДО;эдо для маркировки;фразовое;;/produkty/kontur-diadoc/
K3-Маркировка;3.2 ЭДО;приёмка упд с кодами;фразовое;;/produkty/kontur-diadoc/
